old_lib,old_name,new_lib:new_name
data-center-rdimm-ddr4-tester,1296.2013,antmicroMechanicalParts:Mech_Lightpipe_Mentor_1296.2013
data-center-rdimm-ddr4-tester,61300311121,antmicroRectangularConnectorsHeadersMalePins:PinHeader_1x3_P2.54mm_Drill1.1mm
data-center-rdimm-ddr4-tester,685119134923,antmicroUSBDVIHDMIConnectors:HDMI_A_Female_685119134923
data-center-rdimm-ddr4-tester,693071020811,antmicroMemoryConnectorsPCCardSockets:MicroSD_693071020811
data-center-rdimm-ddr4-tester,1-1825027-1,antmicroTactileSwitches:SW_1-1825027-1
data-center-rdimm-ddr4-tester,2199155-1,antmicroMemoryConnectorsPCCardSockets:Bus_DDR4_2199155-1
data-center-rdimm-ddr4-tester,5-2337992-8,antmicroModularConnectorsJacksWithMagnetics:Bus_RJ45_5-2337992-8
data-center-rdimm-ddr4-tester,74LVC2G07GV,antmicroLogicBuffersDriversReceiversTransceivers:74LVC2G07_SOT457
data-center-rdimm-ddr4-tester,ABM8G-12.000MHZ-18-D2Y-T,antmicroCrystals:Oscillator_SMD_12MHz_KX-7
data-center-rdimm-ddr4-tester,ABM8G-25.000MHZ-18-D2Y-T,antmicroCrystals:Oscillator_SMD_25MHz_KX-7
data-center-rdimm-ddr4-tester,APTF1616SURKCGKSYKC,antmicroLEDIndicationDiscrete:LED_RGB_0606_APTF1616SURKCGKSYKC
data-center-rdimm-ddr4-tester,ASFLMB-100.000MHZ-XY-T,antmicroOscillators:Oscillator_SMD_100MHz_ASFLMB
data-center-rdimm-ddr4-tester,B3U-1000P,antmicroTactileSwitches:SW_B3U-1000P
data-center-rdimm-ddr4-tester,BLM18AG601SN1D,antmicroFerriteBeadsandChips:FB_600Z_0.5A_0603
data-center-rdimm-ddr4-tester,BLM18PG121SN1D,antmicroFerriteBeadsandChips:FB_120Z_2A_0603
data-center-rdimm-ddr4-tester,BLM21PG221SN1D,antmicroFerriteBeadsandChips:FB_220Z_2A_0603
data-center-rdimm-ddr4-tester,C_100n_0402_16V,antmicroCapacitorsmisc:C_100n_16V_0402
data-center-rdimm-ddr4-tester,C_1u_0402_16V,antmicroCapacitors0402:C_1u_16V_0402
data-center-rdimm-ddr4-tester,C_22u_2220_100V,antmicroCapacitorsmisc:C_22u_100V_2220
data-center-rdimm-ddr4-tester,DC_SOCKET,antmicroBarrelAudioConnectors:BarrelJack_3167288
data-center-rdimm-ddr4-tester,DFE322512F-R68M=P2,antmicroFixedInductors:L_680n_6.1A_1210
data-center-rdimm-ddr4-tester,DS04-254-1-01BK-SMT,antmicroSlideSwitches:SW_DS04-254-1-01BK-SMT
data-center-rdimm-ddr4-tester,FT4232H-56Q,antmicroInterfaceControllers:FT4232H_VQFN
data-center-rdimm-ddr4-tester,IHLP2020BZER4R7M01,antmicroFixedInductors:L_4u7_2.8A_2020
data-center-rdimm-ddr4-tester,KP-1608CGCK,antmicroLEDIndicationDiscrete:LED_G_0603_KP-1608CGCK
data-center-rdimm-ddr4-tester,MAX16150AUT+T,antmicroPMICPowerSequencers:MAX16150A_SOT
data-center-rdimm-ddr4-tester,NCP718ASN500T1G,antmicroPMICVoltageRegulatorsLinear:NCP718ASN500_SOT
data-center-rdimm-ddr4-tester,NetTie_2,antmicroShuntsJumpers:Net-Tie_2
data-center-rdimm-ddr4-tester,PAC1954T-E{brace}brace}slash}4MX,antmicroMicrocontrollers:PAC1954T-E_VQFN
data-center-rdimm-ddr4-tester,PCA9517ADMR2G,antmicroLogicTranslatorsLevelShifters:PCA9517A_TSSOP
data-center-rdimm-ddr4-tester,PDS760-13,antmicroDiodesRectifiersSingle:PDS760
data-center-rdimm-ddr4-tester,R_330R_250mW_0603,antmicroResistors0603:R_330R_0.25W_0603
data-center-rdimm-ddr4-tester,RCW-0C,antmicroTestPoints:TestPoint_Probe_1206_RCW-0C
data-center-rdimm-ddr4-tester,SN74AHCT1G125DBVR,antmicroLogicBuffersDriversReceiversTransceivers:SN74AHCT1G125_SOT
data-center-rdimm-ddr4-tester,SN74LVC1G240DCKR,antmicroLogicBuffersDriversReceiversTransceivers:SN74LVC1G240_SC70
data-center-rdimm-ddr4-tester,TP_SMD_0_75MM,antmicroTestPoints:TP_0.75mm_SMD
data-center-rdimm-ddr4-tester,TP_SMD1MM,antmicroTestPoints:TP_1mm_SMD
data-center-rdimm-ddr4-tester,TPD2E009,antmicroTVSDiodes:TPD2E009_SOT-9X3
data-center-rdimm-ddr4-tester,TPD6E05U06,antmicroTVSDiodes:TPD6E05U06RVZR
data-center-rdimm-ddr4-tester,TPS65295RJET,antmicroPMICVoltageRegulatorsDCDCSwitchingControllers:TPS65295RJE
data-center-rdimm-ddr4-tester,TS3L500,antmicroLogicSignalSwitchesMultiplexersDecoders:TS3L500RHUR
data-center-rdimm-ddr4-tester,USB4105-GF-A,antmicroUSBDVIHDMIConnectors:USB-C_USB4105-GF-A
data-center-rdimm-ddr4-tester,WE_7447798720,antmicroFixedInductors:L_7u2_7.9A_WE-PDF
